Cód.,Bairro,Domicílios - Total,Domicílios - 1 morador,Domicílios - casa,Domicílios - apartamento,Domicílios ocupação - Próprio,Domicílios ocupação- alugado,Rede geral de esgoto ou pluvial,Lixo Coletado,Média de moradores domicílios,Residente – Total,Residente - não pensionista,10+ anos- Total,10+ anos – alfabetizadas,10+ anos – Taxa de alfabetização,5+ anos – total,5+ anos – alfabetizadas,Rendimento médio mensal dos domicílios (Reais),rendimento mediano mensal dos domicílios (Reais),Rendimento médio mensal 10+ anos,Rendimento mediano mensal 10+ anos,Domicílios até 1 salário mínimo (Unidades),Domicílios até 15+ salário mínimo (Unidades),Domicílios  sem rendimentos (Unidades),Residentes – Homens,Residentes – Mulheres,Residentes – 0 a 9 anos,Residentes – 10 a 19 anos,Residentes – 20 a 29 anos,Residentes – 30 a 39 anos,Residentes – 40 a 49 anos,Residentes – 50 a 59 anos ,Residentes – 60 a 69 anos ,Residentes – 70 ou mais
3205002023,Parque Jacaraípe - Serra,1035,127,879,152,683,293,943,1034,3.21,3333,3316,2888,2807,97.2,3118,2992,3275.01,2200,1765.33,1020,67,82,14,1606,1727,445,510,596,556,443,397,206,180
3205002024,São Pedro - Serra,223,29,222,1,180,41,147,221,3.32,740,738,633,602,95.1,690,635,1904.9,1500,1066.26,700,25,3,8,360,380,107,123,150,118,109,71,28,34
3205002025,Castelândia - Serra,391,49,350,41,216,141,373,391,3.09,1228,1209,1084,1061,97.88,1160,1126,3102.06,2150,1735.24,1035,27,34,11,610,618,144,183,220,199,184,166,82,50
3205002026,Conjunto Jacaraípe - Serra,1115,159,72,1034,799,263,1112,1114,2.78,3101,3100,2720,2687,98.79,2919,2855,2791.24,2200,1652.11,1200,47,27,20,1495,1606,381,464,664,555,458,323,144,112
3205002027,Valparaíso - Serra,1953,241,410,1499,1425,463,1943,1952,2.91,5683,5676,5056,5032,99.53,5372,5323,3686.3,3050,2158.45,1500,46,125,80,2631,3052,627,885,1098,1026,887,736,283,141
3205002028,Portal de Jacaraípe - Serra,298,28,273,20,188,86,259,298,3.3,988,982,847,824,97.28,921,878,3038.67,2490,1595.29,1000,10,19,2,496,492,141,146,199,179,135,102,54,32
3205002029,Centro Industrial do Município - Serra,17,3,17,-,9,2,15,15,3.12,53,51,49,46,93.88,52,49,1628.24,1190,909.03,800,2,-,1,25,28,4,12,8,9,6,8,5,1
3205002030,Sítio Irema - Serra,132,18,127,2,76,36,86,131,3.02,399,398,350,344,98.29,373,362,2553.85,1800,1463.89,1000,11,8,5,196,203,49,70,68,60,63,46,21,22
3205002031,Feu Rosa - Serra,5912,639,5752,91,4099,1399,5594,5866,3.3,19532,19504,16389,15667,95.59,17953,16702,1485.23,1216,847.5,600,771,17,251,9529,10003,3143,3627,4205,2929,2534,1847,781,466
3205002032,Condomínio Ecológico Parque da Lagoa - Serra,8,2,8,-,5,-,3,4,2.25,23,18,23,19,82.61,23,19,935,755,570.71,510,1,-,-,14,9,-,5,4,1,4,4,3,2
3205002033,Vila Nova de Colares - Serra,4960,542,4619,141,3393,1191,4620,4936,3.42,17015,16976,13764,12638,91.82,15506,13627,1207.38,1020,709.07,547,910,12,204,8518,8497,3251,3633,3502,2656,2038,1132,481,322
3205002034,Ourimar - Serra,59,5,57,1,51,3,1,51,3.63,214,214,177,168,94.92,193,180,2101.83,1705,1240.08,895,6,1,7,112,102,37,31,30,43,28,25,12,8
3205002035,Manguinhos - Serra,425,61,395,23,308,62,228,424,2.95,1257,1241,1113,1094,98.29,1192,1161,5952.57,4000,3112.15,1640,21,107,7,624,633,144,143,188,206,178,212,106,80
3205002036,Parque Residencial Laranjeiras - Serra,2630,325,2316,218,1817,650,2352,2612,3.11,8216,8174,7266,7088,97.55,7749,7452,3756.32,2700,1976.41,1200,147,279,67,3874,4342,950,1082,1524,1262,1143,1119,676,460
