Cód.,Município,Bairro,pred
3205309046,VITÓRIA,TABUAZEIRO,2
3205309047,VITÓRIA,BARRO VERMELHO,2
3205309048,VITÓRIA,ENSEADA DO SUÁ,0
3205309049,VITÓRIA,ILHA DO BOI,2
3205309050,VITÓRIA,ILHA DO FRADE,2
3205309051,VITÓRIA,PRAIA DO CANTO,1
3205309052,VITÓRIA,PRAIA DO SUÁ,0
3205309053,VITÓRIA,SANTA HELENA,2
3205309054,VITÓRIA,SANTA LÚCIA,0
3205309055,VITÓRIA,SANTA LUÍZA,2
3205309057,VITÓRIA,ANTONIO HONÓRIO,2
3205309058,VITÓRIA,BOA VISTA,2
3205309060,VITÓRIA,DE FÁTIMA,2
3205309061,VITÓRIA,GOIABEIRAS,2
3205309062,VITÓRIA,HÉLIO FERRAZ,2
3205309063,VITÓRIA,JABOUR,2
3205309064,VITÓRIA,JARDIM CAMBURÍ,1
3205309065,VITÓRIA,JARDIM DA PENHA,1
3205309066,VITÓRIA,MARIA ORTIZ,0
3205309067,VITÓRIA,MATA DA PRAIA,0
3205309068,VITÓRIA,MORADA DE CAMBURÍ,2
3205309069,VITÓRIA,PARQUE INDUSTRIAL,2
3205309070,VITÓRIA,PONTAL DE CAMBURÍ,2
3205309071,VITÓRIA,REPÚBLICA,2
3205309072,VITÓRIA,SEGURANÇA DO LAR,2
3205309073,VITÓRIA,SOLON BORGES,2
3205309075,VITÓRIA,CONQUISTA,2
3205309076,VITÓRIA,ILHA DAS CAIEIRAS,2
3205309077,VITÓRIA,NOVA PALESTINA,2
3205309078,VITÓRIA,REDENÇÃO,2
3205309079,VITÓRIA,RESISTÊNCIA,2
3205309080,VITÓRIA,SANTO ANDRÉ,2
3205309081,VITÓRIA,SANTOS REIS,2
3205309082,VITÓRIA,SÃO JOSÉ,2
3205309083,VITÓRIA,SÃO PEDRO,2
